rank,dead,online,name,level,class,id,experience,account,challenges,twitch,ladder
1344,FALSE,FALSE,SSF_CoinZ,88,Necromancer,0acb9bace6c4862c08c2451bb3cb58002649a5c62f205d292307f5e690eca721,1651329883,Memric00,30,null,SSF Harbinger HC
1344,FALSE,FALSE,Eilsharo,91,Gladiator,364b3fd6049b8c0d4c452c24ca7f328ff667f81ba935f133bbe9b22bd9ece04c,2103486448,Vantra,25,angemorrison,SSF Harbinger
1344,FALSE,FALSE,MANWHORE_FUCKFACE,95,Gladiator,45c789a46681e05329201550e8a7cab0d043ff761de08b5e7863ca0e9a37a460,2922573939,MISTER_KUPAL_1969,31,null,Hardcore Harbinger
1344,FALSE,TRUE,Infernal__Mistress,99,Ascendant,bc2d377f42ac992344eeb757b01a0a973b2658ac5a18a599f9679a4e25a80a7f,3932833767,PhoenixFlame,39,null,Harbinger
1345,FALSE,FALSE,MyrlComaForYa,91,Saboteur,3d9a97e90cc7456510c60d415e50dea3fae97e70c6eb3be5ecd8b7709bf2aa51,2103391697,Myrl,23,null,SSF Harbinger
1345,TRUE,FALSE,BakaChieftain,95,Chieftain,97f09f87ba702276b04dc3a86a4f6093dd87ecb17a322f440f9bbd57ca593fae,2922323831,NewGenBaka,33,null,Hardcore Harbinger
1345,FALSE,FALSE,JueVioleDunker,88,Slayer,e3fab8af6eec156d2d6bdb0d391fb9f0a3df2c22ea430339366bd8b293ce6581,1651220348,EllofCZ,31,null,SSF Harbinger HC
1345,FALSE,FALSE,uiiuuiui,99,Pathfinder,f40bc06140c31dab0c82d900d4a84ecd719e2bd88577cabb168238db191c4fed,3932825801,green1908,29,null,Harbinger
1346,FALSE,FALSE,Henrik_Bargeld,99,Pathfinder,2390e4f04b27c5307b06592c18ccfea33b8bb472081b9dbbf713db075f6af256,3932825780,MasterHenrik,26,null,Harbinger
1346,FALSE,FALSE,MeierK,91,Inquisitor,8b6bda33efecc44f0806fb8eeb54361430d9f5ba88ea84ef36eb758f4c64fa6d,2103335387,rye3316,24,null,SSF Harbinger
1346,FALSE,FALSE,Закройшик,95,Gladiator,d74d81ef5e378fe3076da7787b6942a048102a5cf396cb879b387c59ff0cedfa,2921863052,fyntyf,36,fyntyf,Hardcore Harbinger
1346,FALSE,FALSE,FZHOD,88,Occultist,dd56904d49e432f4e3509ea7be12b5d292741a2f1d82e4e917aee77fb0892478,1651070197,FlyingZamboni,23,null,SSF Harbinger HC
1347,FALSE,FALSE,มาตายกับสายเดิม,99,Berserker,256c69e9d9eaa894718c4f6d538f0168c893d00881d387604cc5ec383d1bd440,3932825780,openone1156,37,null,Harbinger
1347,TRUE,FALSE,HochepST,95,Raider,26cdc1bed49d95966c790224933e9fc9070498521739ea7d0fe48a97ed77580c,2921586471,Hochep,25,hochep,Hardcore Harbinger
1347,FALSE,FALSE,NutJuice,91,Necromancer,39cb2db27563e2a69f26cbc941f6cf880f552351c1f4f4fee991fa47a678912b,2103277129,itsdarrow,27,null,SSF Harbinger
1347,TRUE,FALSE,Hannibal_Njáll_Ásmundr,88,Inquisitor,40703d44cc5819255c5ca6db61908e2d20ca639bd2bb8f8c21ae292a1cb7d050,1649684589,invictolos,28,null,SSF Harbinger HC
1348,TRUE,FALSE,ExtremistaHC,88,Necromancer,444f5dcf2b53edeb8016b0260382c947e770be828db2bbc0aacb0f7d8794de86,1648703934,Extremista,27,ovciarim,SSF Harbinger HC
1348,FALSE,FALSE,Gotta_Go_Faster_,91,Raider,4dd4a057eadc9d95ec41ce66f7db8debe8e991af076f62d5ec23f9f4f1479a79,2103087077,Strato_,37,null,SSF Harbinger
1348,FALSE,FALSE,BigCockBigAxe,95,Berserker,6f144f447e662fe190a81f2c8fa592f6bcd912c2e2cb5e1c307167bc7fc48c0c,2921530710,fastlanu,35,null,Hardcore Harbinger
1348,FALSE,FALSE,БумБашка,99,Slayer,9e4d612e93fe6e6a99a941c35e1670bfc92ac3c52cfc2c58c0c705e8c0bc7806,3932825780,integra88,26,null,Harbinger
1349,FALSE,FALSE,Сочная_девка,88,Ascendant,40b386d9c070f1e61ad860d5b759f7f0d3c92ad65e1ad5da707563bddd8d933c,1647331065,mpa3666,39,null,SSF Harbinger HC
1349,FALSE,FALSE,JhanaaWanderer,99,Pathfinder,44eb1ecc7a8b0b3d519ae6c5eb6d99ea639afdb8bf7a7ec71844437456768e6f,3932825105,jhanax,40,null,Harbinger
1349,FALSE,FALSE,Vendettus_HHC_B,95,Gladiator,8f71790af2f86b614b2e39fb890f74fbc2f91a2da754bfd1178953901ae2cf4d,2921064860,Vendatpath,40,null,Hardcore Harbinger
1349,FALSE,FALSE,forgottotakemyritalin,91,Raider,9581f2754c202de8229751fed02c72e1cc54b166057ac954cef2d251d561911f,2102971770,PaoloPinkel,33,null,SSF Harbinger
1350,FALSE,FALSE,MUSTALAISNEEKERI,88,Berserker,22892f4248924cbceed261e7104515e223df81522b2988ce328e61a3c52b433b,1647296857,atte,29,null,SSF Harbinger HC
1350,FALSE,FALSE,Zingooh,91,Raider,659c1861b05559a3d63824cae25ae7c8fe8b630628b594a53ea86dc9c8d1ebc8,2102604963,Zungo,20,null,SSF Harbinger
1350,FALSE,FALSE,GUTZUUUUUUU,99,Berserker,a3b7cab1bf17ef3717a490c6ea8277a1a9b32674542e82144e19b9289ad2c3fd,3932821179,GLOCKaFELLA,29,null,Harbinger
1350,FALSE,FALSE,BigKaBooooom,95,Ascendant,fd5841ada282c7a8b2cab04e704ad4b27632bf949a02d8bec154c46a90fcc544,2921030085,blu7ocean,23,null,Hardcore Harbinger
1351,FALSE,FALSE,RizenFoO,99,Inquisitor,3188eef1a1e31774b8262588328dfbda796f662a1d582bc284458fbcb002ed78,3932820922,TheRisenOne,40,null,Harbinger
1351,FALSE,FALSE,NotSupportYoohaan,95,Necromancer,6dbfe69b89d9d8e2dcf6da38e7be5ecb3e7b2f51613840dbb206a48653c1e2f4,2920527066,jks666,40,yoohhaan,Hardcore Harbinger
1351,TRUE,FALSE,CybaSunder,88,Juggernaut,ad209143b0ce977a1f172e1b78fe42f6652d3d231523fc0c32e085473cb25c5c,1647125987,Cyba,25,cybagames,SSF Harbinger HC
1351,FALSE,FALSE,Flame_Glitch,91,Elementalist,f6bdc1040cb36c8027c8699bcd320b89e9fced98982f5a22646ec8ef11dd83c2,2102338729,LoCtoR101,27,null,SSF Harbinger
1352,FALSE,FALSE,SecondBitchh,95,Necromancer,7c06a9659a3336202ecdecc725ea34db7cb162c4d267cf0c71798e604941af64,2920510378,mikoze,40,null,Hardcore Harbinger
1352,FALSE,FALSE,Shaddox,91,Berserker,8fe5638b5d8362a6455234b1f3bd6d8346a3882fc212ea80a355da8a04ef193e,2102271771,Shaddeaux,25,null,SSF Harbinger
1352,FALSE,FALSE,Niroh,99,Ascendant,a3478aeb50deae0ab730bcb047e4916775aa2d190491e3d0f4124c41bad884a7,3932819836,SuperHypeName,36,null,Harbinger
1352,FALSE,FALSE,ElsahrRetry,88,Ascendant,d345dffd072e5a06ff06da3498109893536ebc2c8100cbe41a87d8b971190463,1647111409,Elsahr,15,opc_79,SSF Harbinger HC
1353,TRUE,FALSE,NeedsmoreMikushrines,95,Trickster,1c495976f40b333bd99acbe2fc814cb5c5f60196a01d41130f1cf51894852438,2920498420,39Negitoro,30,39negitoro,Hardcore Harbinger
1353,FALSE,FALSE,JuggercloneSSF,91,Juggernaut,7bacfe6cd60580676f14eebeb2afec23922445b4cf1fe515db3ec81898429737,2102202257,MrInferno66,26,null,SSF Harbinger
1353,TRUE,FALSE,RTBlock,88,Gladiator,8b1e1303e231af9f1fe7842b953a312382b4601d61c0e05b514b02200e0449a7,1646943474,Sagittariuss,19,null,SSF Harbinger HC
1353,FALSE,FALSE,EMPOWERz,99,Ascendant,c44c0734a4056bd74e32a2d2be06e2977939e3d19b0e67d4f79b8e2034dd8de4,3932819050,notezXZ,30,null,Harbinger
